date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:15	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2016%20Feb%202021%2011:32:15%20GMT	http://localhost/robots.txt		(from )
12:32:16	69880/69880	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2016%20Feb%202021%2011:32:15%20GMT	http://localhost/wordpress/	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/index.html	(from )
12:32:16	2297/2297	U--M-Z	200	updated ('OK')	text/css	etag:%228f9-5b18d23a3dd80-gzip%22	http://localhost/wordpress/wp-includes/css/dist/block-library/theme.min.css?ver=5.6.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-includes/css/dist/block-library/theme.mind96d.css	(from http://localhost/wordpress/)
12:32:16	51433/51433	U--M-Z	200	updated ('OK')	text/css	etag:%22c8e9-5b5662b38fd00-gzip%22	http://localhost/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.6.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-includes/css/dist/block-library/style.mind96d.css	(from http://localhost/wordpress/)
12:32:16	1642/1642	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%220d2c95f455c9cf15c997c61621975ca5-gzip%22	http://localhost/wordpress/comments/feed/	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/comments/feed/index.html	(from http://localhost/wordpress/)
12:32:16	12994/12994	U--M-Z	200	updated ('OK')	application/rss+xml	etag:%227faec17570b729148eb6b395f2c735a0-gzip%22	http://localhost/wordpress/feed/	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/feed/index.html	(from http://localhost/wordpress/)
12:32:16	1920/1920	U--M-Z	200	updated ('OK')	text/css	etag:%22780-5b3d9005e2bc0-gzip%22	http://localhost/wordpress/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.3	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/contact-form-7/includes/css/stylesde54.css	(from http://localhost/wordpress/)
12:32:16	68/68	U-----	200	untouched ('OK')	text/css	etag:%2244-5b9549c2adf00%22	http://localhost/wordpress/wp-content/plugins/svg-support/css/svgs-attachment.css?ver=5.6.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/svg-support/css/svgs-attachmentd96d.css	(from http://localhost/wordpress/)
12:32:17	128983/128983	U--M-Z	200	updated ('OK')	text/css	etag:%221f7d7-5b6818b8f1600-gzip%22	http://localhost/wordpress/wp-content/plugins/google-language-translator/css/style.css?ver=6.0.8	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/google-language-translator/css/styled42d.css	(from http://localhost/wordpress/)
12:32:17	5732/5732	U--M-Z	200	updated ('OK')	text/css	etag:%221664-5b6818b8f1600-gzip%22	http://localhost/wordpress/wp-content/plugins/google-language-translator/css/toolbar.css?ver=6.0.8	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/google-language-translator/css/toolbard42d.css	(from http://localhost/wordpress/)
12:32:17	1729/1729	U--M-Z	200	updated ('OK')	text/css	etag:%226c1-5b462c31ff740-gzip%22	http://localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/slick.css?ver=20170420	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/slickdade.css	(from http://localhost/wordpress/)
12:32:17	29062/29062	U--M-Z	200	updated ('OK')	text/css	etag:%227186-5b462c31ff740-gzip%22	http://localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/font-awesome.min.css?ver=20170420	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/font-awesome.mindade.css	(from http://localhost/wordpress/)
12:32:18	3416/3416	U--M-Z	200	updated ('OK')	text/css	etag:%22d58-5b462c31ff740-gzip%22	http://localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/style.css?ver=20170420	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/team-free/deprecated/assets/css/styledade.css	(from http://localhost/wordpress/)
12:32:18	12641/12641	U--M-Z	200	updated ('OK')	text/css	etag:%223161-5b462c32f3980-gzip%22	http://localhost/wordpress/wp-content/plugins/team-free/public/css/public.min.css?ver=2.0.7	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/team-free/public/css/public.min5d0a.css	(from http://localhost/wordpress/)
12:32:18	0/0	U-----	200	untouched ('OK')	text/css	etag:%220-5b8e32c4ec500%22	http://localhost/wordpress/wp-content/uploads/useanyfont/uaf.css?ver=1610660724	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/uploads/useanyfont/uafa69f.css	(from http://localhost/wordpress/)
12:32:18	56842/56842	U--M-Z	200	updated ('OK')	text/css	etag:%22de0a-5b3d8da941940-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.min.css?ver=5.11.2	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/themes/oceanwp/assets/fonts/fontawesome/css/all.minaec5.css	(from http://localhost/wordpress/)
12:32:18	10909/10909	U--M-Z	200	updated ('OK')	text/css	etag:%222a9d-5b3d8da941940-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min.css?ver=2.4.0	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/simple-line-icons.min8d5a.css	(from http://localhost/wordpress/)
12:32:19	5235/5235	U--M-Z	200	updated ('OK')	text/css	etag:%221473-5b3d8da941940-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min.css?ver=1.0.0	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/themes/oceanwp/assets/css/third/magnific-popup.min8a54.css	(from http://localhost/wordpress/)
12:32:19	156586/156586	U--M-Z	200	updated ('OK')	text/css	etag:%22263aa-5b3d8da84d700-gzip%22	http://localhost/wordpress/wp-content/themes/oceanwp/assets/css/style.min.css?ver=1.9.0	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/themes/oceanwp/assets/css/style.min8162.css	(from http://localhost/wordpress/)
12:32:19	17076/17076	U--M-Z	200	updated ('OK')	text/css	etag:%2242b4-5ba45760370c0-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.10.0	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minee95.css	(from http://localhost/wordpress/)
12:32:19	18468/18468	U--M-Z	200	updated ('OK')	text/css	etag:%224824-5ba45760370c0-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.min.css?ver=3.1.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/elementor/assets/lib/animations/animations.minb12b.css	(from http://localhost/wordpress/)
12:32:20	3854/3854	U--M-Z	200	updated ('OK')	text/css	etag:%22f0e-5ba45760370c0-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.1.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend-legacy.minb12b.css	(from http://localhost/wordpress/)
12:32:20	115059/115059	U--M-Z	200	updated ('OK')	text/css	etag:%221c173-5ba45760370c0-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.1.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/elementor/assets/css/frontend.minb12b.css	(from http://localhost/wordpress/)
12:32:20	1079/1079	U--M-Z	200	updated ('OK')	text/css	etag:%22437-5bb66394fb835-gzip%22	http://localhost/wordpress/wp-content/uploads/elementor/css/post-74.css?ver=1613422606	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/uploads/elementor/css/post-7452df.css	(from http://localhost/wordpress/)
12:32:20	17882/17882	U--M-Z	200	updated ('OK')	text/css	etag:%2245da-5bb71d7f4507c-gzip%22	http://localhost/wordpress/wp-content/uploads/elementor/css/post-72.css?ver=1613472512	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/uploads/elementor/css/post-72f59a.css	(from http://localhost/wordpress/)
12:32:20	9237/9237	U--M-Z	200	updated ('OK')	text/css	etag:%222415-5bb6639517d33-gzip%22	http://localhost/wordpress/wp-content/uploads/elementor/css/global.css?ver=1613422606	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/uploads/elementor/css/global52df.css	(from http://localhost/wordpress/)
12:32:21	37002/37002	U--M-Z	200	updated ('OK')	text/css	etag:%22908a-5b3d8e79283c0-gzip%22	http://localhost/wordpress/wp-content/plugins/ocean-extra/assets/css/widgets.css?ver=5.6.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/ocean-extra/assets/css/widgetsd96d.css	(from http://localhost/wordpress/)
12:32:21	675/675	U--M-Z	200	updated ('OK')	text/css	etag:%222a3-5ba45760370c0-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min9e0b.css	(from http://localhost/wordpress/)
12:32:21	669/669	U--M-Z	200	updated ('OK')	text/css	etag:%2229d-5ba45760370c0-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min9e0b.css	(from http://localhost/wordpress/)
12:32:21	57912/57912	U--M-Z	200	updated ('OK')	text/css	etag:%22e238-5ba45760370c0-gzip%22	http://localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min9e0b.css	(from http://localhost/wordpress/)
12:32:22	89496/89496	U--M-Z	200	updated ('OK')	application/javascript	etag:%2215d98-5b11746475f40-gzip%22	http://localhost/wordpress/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-includes/js/jquery/jquery.min9d52.js	(from http://localhost/wordpress/)
12:32:22	11224/11224	U--M-Z	200	updated ('OK')	application/javascript	etag:%222bd8-5b472638cda40-gzip%22	http://localhost/wordpress/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://localhost/wordpress/)
12:32:22	1045/1045	U-----	200	untouched ('')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost/wordpress/wp-includes/wlwmanifest.xml	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-includes/wlwmanifest.xml	(from http://localhost/wordpress/)
12:32:22	822/822	U--M-Z	200	updated ('OK')	text/xml	date:Tue,%2016%20Feb%202021%2011:32:22%20GMT	http://localhost/wordpress/xmlrpc.php?rsd	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/xmlrpc0db0.php	(from http://localhost/wordpress/)
12:32:23	2212/2212	U-----	200	untouched ('')	application/json	date:Tue,%2016%20Feb%202021%2001:07:56%20GMT	http://localhost/wordpress/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fwordpress%2F	C:/Users/asus/Desktop/ostfalia-thesis-master%20(1)/ostfalia-thesis-master/test.github.io/pain2d/localhost/wordpress/wp-json/oembed/1.0/embed68f4.json	(from http://localhost/wordpress/)
